"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"11","NBCC","10","1","18","5","8","80","36.33","2.74","50.4","50.11","19.32","7.13","858.52","842.23","","9.79","4.14","4.97","1.63","1.42","1.56","","591.69","141.23","16.19","5.04","4.7","86.08","78.14","176.35","-0.36","1.84","2.05","26.67","16.33","26.71","2.22","","0","0","61.75","1.17","","13937.06","","0","29.96","11.57","15.05","21.82","10.66","13.21","NBCC","534309","INE095N01031"
"12","Pine Labs","6","0","10","3","3","","2.33","","53.73","38.66","","11.92","271.25","","","6.95","9.84","9.55","","9.9","2.02","","","","24.74","","","-9.63","7.88","-26.1","162.85","","","","20","","","","0","0","0","1.19","","3.44","","0.24","-0.55","37.81","11.11","-4.27","30.66","8.96","PINELABS","544606","INE15B701018"
"13","Tata Technologies","10","1","12","2","4","40","29.17","6.73","53.73","39.28","25.15","20.47","1058.18","871.03","202.54","7.41","9.84","5.56","-2.82","9.9","1.51","","","54.91","-95.99","15.98","10.18","-9.63","7.88","-32.23","25.71","5.32","5.06","-96.15","-96.08","-17.67","13.09","","-0.01","0","55.21","1.74","","53.91","","0","23.53","37.81","17.27","18.91","30.66","14.12","TATATECH","544028","INE142M01025"
"14","ZF Commercial","7","0","16","6","7","70","27","30.6","48.77","50.85","31.35","19.29","739.28","773.34","","7.81","7.12","5.9","3.08","2.94","4.12","","","224.29","-11.52","16","12.5","235.34","0.52","14.61","2.2","6.43","6.89","-0.78","-11.53","17.88","254.55","","0","0","60","5.8","","129.59","","0","18.66","20.66","18.62","14.33","18.57","14.6","ZFCVINDIA","533023","INE342J01019"
"15","ITI","10","2","11","3","3","45","3.17","2.03","34.16","33.6","983.67","0.7","25.32","93.21","","17.82","10.06","13.3","-2.38","10.71","10.8","","-247.48","-279.53","14.54","-1.51","-5.49","43.29","70.27","25.75","54.66","6.59","8.59","21.92","13.64","65.87","-1.78","","0","0","90.02","0.88","","0.11","","0.95","-2.3","17.68","22.21","-13.72","11.97","14.32","ITI","523610","INE248A01017"
"16","AWL Agri Business","10","1","11","6","7","65","50.83","4.88","52.35","41.91","14.18","4.27","2719.78","2549.78","","2.72","21.92","3.91","2.45","8.37","2.27","","165.82","52.42","3.51","3.29","1.55","3.45","15.9","50.68","213.87","0.53","0.39","-20.92","2.72","10.2","8.33","","-7","0","56.94","1.25","","3.76","","0.79","21.7","36.8","17.26","12.99","36.3","11.92","AWL","543458","INE699H01024"
"17","TVS Holdings","5","2","29","2","7","75","58.33","1.8","48.77","50.85","7.22","15.46","6958.17","8102.07","","4.93","7.12","5.9","0.36","2.94","4.12","","245.33","164.14","31.98","15.91","2.86","235.34","0.52","14.61","2.2","0.39","0.54","59.15","31.98","52.09","715.42","","0","16.34","74.45","1.01","","3.13","","6.93","47.9","20.66","18.62","24.83","18.57","14.6","TVSHLTD","520056","INE105A01035"
"18","Honeywell Automation","16","3","12","3","4","45","26.83","12.59","46.64","48.58","34.32","18.3","766.7","757.1","158.3","6.5","8.99","7.39","-23.99","3.93","2.93","","6.54","54.4","-4.09","12.66","11.37","25.77","16.72","15.39","49.14","7.07","6","3.8","-4.13","-2.2","583.72","","0","0","75","3.57","","114.43","1.8","0","17.17","24.97","24.76","12.96","20.74","21.91","HONAUT","517174","INE671A01010"
"19","Garden Reach Shipbuilders","8","2","24","2","8","80","31.5","3.05","51.2","53.63","20.58","14.89","756.1","891.64","","11.91","12.04","10.78","0.74","3.49","2.4","","222.61","178.27","27.97","9.56","10.45","23.52","10.25","36.58","18.77","3.8","4.64","57.26","28.03","60.18","53.81","","0","0","74.5","1.17","","73.25","","0","32.36","24.14","25.11","25.36","20.49","23.88","GRSE","542011","INE382Z01011"
"20","Mangalore Refinery","1","2","22","1","7","75","64","3.9","53.25","52.95","14.9","2.58","2446.03","5759.09","","2.06","1.9","2.07","0.08","0.91","0.97","","101.68","-98.1","131.27","6.25","2.44","5.89","-31.07","9.04","-24.32","0.25","0.31","370.45","131.28","164.32","12.43","","0","0","88.58","0.98","","2.43","240","0.99","4.95","10.1","9.37","0.43","9.53","8.92","MRPL","500109","INE103A01014"
