Sl No,Stock,Market Cap,ROE Ann  %,Industry ROE,Industry ROCE,Industry ROA,Industry PBV TTM,Industry PEG TTM,Industry PE TTM,Industry Score,Industry Market Cap ,Sector Market Cap ,Sector Score,Sector PE TTM,Sector PEG TTM,Sector PBV TTM,Sector ROE,Sector ROCE,Sector ROA,ROCE Ann  %,ROCE Ann  3Y Avg %,ROCE Ann  5Y Avg %,ROCE Ann  1Y Ago %,LT Debt To Equity Ann ,LT Debt To Equity Ann  1Y Ago,Total Debt to Total Equity Ann ,Interest Ann ,Interest Ann  1Y Ago,Interest Ann  2Y Ago,Interest Ann  3Y Ago,Interest Ann  4Y Ago,Interest Ann  5Y Ago,Interest TTM,Interest Coverage Ratio Ann ,Interest Coverage Ratio Ann  1Y Ago,Interest Coverage Post Tax Ann  %,FC Est  1Q fwd Interest Expense Qtr,NSE Code,BSE Code,ISIN,Gross NPA ratio Qtr %,Gross NPA ratio 4Q Ago %,Gross NPA ratio 8Q Ago %,Gross NPA Ratio Qtr 1Q ago %,Gross NPA ratio % Qtr QoQ change,Rev  Gross From Operations Ann ,Rev  Net From Operations Ann ,Capital Adequacy Ratios Ann  %,Profit From Continuing Operations Ann ,Working Capital Turnover Ann ,Operating Rev  growth TTM %,ROE Ann  %,ROE Ann  1Y Ago %,ROE Ann  2Y Ago %,ROE Ann  3Y Ago %,ROE Ann  4Yr Ago %,ROE Ann  5Y Ago %,ROCE Ann  %,ROCE Ann  1Y Ago %,RoA Ann  %,RoA Ann  1Y Ago %,RoA Ann  2Y Ago %,RoA Ann  3Y Ago %,RoA Ann  4Yr Ago %,RoA Ann  5Y Ago %,EPS TTM Growth %,Interest Coverage Ratio Ann ,OPM Ann  %,NPM Ann  %,Net Profit Per Share Ann ,Interest Coverage Post Tax Ann  %,Cash Flow Return on Assets Ann ,Cash Flow Return on Assets Ann  1Y ago,Current Ratio Ann ,Book Value Inc Reval Reserve Ann ,Promoter holding latest %,Promoter holding change QoQ %,Promoter holding change 1Y %,Promoter holding change 2Y %,Promoter holding pledge percentage % Qtr,Promoter pledge change QoQ %,Basic EPS TTM 1Y Ago,Basic EPS TTM,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,Basic EPS Ann  5Y Ago,Basic EPS Ann  4Y Ago,Basic EPS Ann  3Y Ago,Basic EPS Ann  2Y Ago,Basic EPS Ann  1Y Ago,Basic EPS Ann ,EPS Ann ,Cash EPS Ann ,Cash EPS Ann  1Y Ago,Cash EPS 1Y Growth %,Cash EPS 3Y Growth %,Cash EPS 5Y Growth %,EPS TTM Growth %,EPS Qtr YoY Growth %,Basic EPS QoQ Growth %,Cash EPS Ann  3Y ago,Cash EPS Ann  5Y ago,FC Est  1Q fwd EPS Qtr,FC Est  1Q fwd Cash EPS Qtr,Price To Sales Ann ,Market Cap Per Sales Ann ,EV Per Net Sales Ann ,Graham Ratio,Price to Cashflow from Operations,Price to Sales TTM,Operating Profit 6Qtr Ago,Operating Profit 7Qtr Ago,Operating Profit Qtr,Operating Profit 1Q Ago,Operating Profit 2Q Ago,Operating Profit 3Q Ago,Operating Profit 4Q Ago,Operating Profit Ann  3Y Ago,Operating Profit Ann  4Y ago,Operating Profit Ann  5Y Ago,Operating Profit Ann ,Operating Profit Ann  1Y Ago,Operating Profit Ann  2Y ago,Operating Profit Margin Qtr %,OPM 1Q ago %,OPM Qtr 4Qtr ago %,Net Profit Qtr,Net Profit 1Q Ago,Net Profit 2Q Ago,Net Profit 3Q Ago,Net Profit 4Q Ago,Net Profit 5Q Ago,Net Profit 6Q Ago,Net Profit 7Q Ago,Net Profit 8Q Ago,Reported PAT Qtr,Net Profit Ann ,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Operating Profit Growth Qtr YoY %,Operating Profit TTM 1Y Ago,Operating Profit TTM,Profit Before Tax Qtr,PBT 1Q Ago,PBT 4Q Ago,PBT Ann ,PBT Ann  1Y Ago,Total Profit Loss Ann ,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,NPM 4Q ago %,NPM 1Q ago %,NPM Qtr %,NPM Ann  1Y ago %,NPM TTM %,Net Profit TTM 5Q Ago,Net Profit TTM 4Q Ago,Net Profit TTM 3Q Ago,OPM Qtr 4Qtr ago %,OPM 1Q ago %,Operating Profit Margin Qtr %,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,OPM TTM %,PEG TTM,EBITDA Qtr,EBITDA 1Q Ago,EBITDA 2Q Ago,EBITDA 3Q Ago,EBITDA 4Q Ago,EBITDA Ann  1Y Ago,EBITDA Ann ,EBITDA TTM,EBITDA Ann  margin %,EBITDA Qtr YoY Growth %,EBITDA Qtr growth YoY %,EBITDA Ann  Margin %,EBIT Ann  Margin %,EV Per EBITDA Ann ,FC Est  1Q forward EBIT Qtr,FC Est  1Q fwd EBITDA Qtr,Altman Zscore,Tobin Q Ratio,Piotroski Score,Graham No ,Valuation Score,Prev Month TL Valuation Score,Durability Score,Prev Month TL Durability Score,Prev Week TL Durability Score,Prev Week TL Valuation Score,Momentum Score,Norm  Momentum Score,Prev Week TL Momentum Score,Prev Month TL Momentum Score,SWOT Strengths,SWOT Weakness,SWOT Threats,SWOT Opportunities,TL Checklist Positive Score,TL Checklist Negative Score
37,Avenue Supermarts,238532.73,12.63,16.85,19.6,11.72,13.39,12.27,81.26,45.49,456860.21,1174954.21,42.1,74.23,7.42,17.21,12.13,13.32,7.14,16.92,18.01,16.21,18.33,0,0,0,69.45,58.13,67.41,53.79,41.65,69.12,120.04,66.4,73.12,39.98,40,DMART,540376,INE192R01011,0,0,0,0,0,65224.12,59199.3,,2707.45,14.23,15.37,12.63,13.56,14.79,10.91,9.02,11.74,16.92,18.33,11.13,11.97,13.13,9.64,8.05,10.77,5.31,66.4,,4.55,41.61,39.98,0.1,0.13,2.89,329.29,74.65,0,0,0,0,0,41.8,44.02,13.15,10.53,11.88,8.47,11.12,20.55,16.85,22.86,36.72,38.93,41.61,41.5,54.97,50.2,9.51,78.89,112.54,5.31,18.26,24.88,30.73,25.86,14.79,,4.47,4.47,4.46,6.21,96.85,3.61,1221.25,943.64,1463.37,1213.65,1299.04,955.07,1217.24,2498.5,1743.05,2128.31,4487.33,4103.77,3637.03,8.08,7.28,7.62,855.92,685.01,772.97,550.9,723.72,659.58,773.82,563.25,690.61,855.78,2708.02,2536.17,2378.51,1492.55,1099.49,1301.08,20.22,4475.9,4931.13,1175.19,944.79,995.05,3672.67,3461.33,,0.46,7.54,8.06,4.53,4.11,4.73,4.98,4.34,2687.26,2720.37,2708.02,7.62,7.28,8.08,0.46,,8.06,7.47,15.68,1480.3,1233.22,1318.47,980.12,1241.38,4250.22,4611.64,5012.11,7.75,19.25,19.25,7.76,6.3,57.47,883.99,1118.18,53.08,11.13,5,590.28,26.83,26.33,50,50,50,26.67,32.45,36.46,40.62,43.36,15,13,4,4,11,11
38,Power Grid Corp,236374.85,16.75,16.69,13.07,6.02,2.93,2.79,21.54,52.84,1328401.82,2244223.46,45.39,21.1,3.32,4.64,14.66,12.29,5.71,12.32,12.86,12.36,13.46,1.19,1.21,1.41,8700.13,8772.75,9633.94,8036.22,8134.69,9509,8302.42,4.68,4.67,2.76,2248.1,POWERGRID,532898,INE752E01010,0,0,0,0,0,44072.92,44072.92,,15631.7,-54.61,0.8,16.75,17.87,18.57,22.06,17.21,17.09,12.32,13.46,5.83,6.2,6.15,6.7,4.7,4.3,-3.25,4.68,,32.7,16.81,2.76,0.14,0.15,0.98,99.63,51.34,0,0,0,0,0,16.89,16.34,3.84,3.9,4.46,4.15,4.08,21.14,23.01,24.12,22.1,17.36,16.69,16.69,30.68,30.84,-0.53,-27.74,-28.7,-3.25,-5.88,-1.54,42.46,43.03,4.15,,5.9,5.9,8.54,1.29,6.53,5.12,10099.03,10212.89,9113.74,9146.74,10223.6,9537.98,9701.32,36566.9,34993.11,32940.24,39065.37,39902.89,39478.13,79.42,81.69,86.02,3566.08,3630.58,4142.87,3861.63,3793.02,3723.92,4166.33,4028.25,3781.42,3624.75,15521.44,15573.16,15417.12,16824.07,12036.46,11059.4,-6.06,39615.71,38022.06,4454.11,4543.01,4782.11,19404.46,18533.5,,-6.61,82.31,85.06,33.63,32.43,31.07,33.2,32.92,15699.92,15711.52,15544.9,86.02,81.69,79.42,-6.61,,85.06,82.33,-4.79,9825.3,9607.76,10589.44,10090.48,10515.26,40972.91,40732.43,40112.98,85.83,-6.56,-6.56,88.95,60.77,9.6,6534.85,9817.6,1.52,2.55,5,197.78,43.33,43.33,60,60,60,43.33,32.14,36.12,32.59,39.31,9,10,1,6,11,12
39,Tata Steel,234203.53,3.75,6.51,10.67,3.21,2.89,2.42,31.98,58.25,949274.53,2496749.88,59.57,24.25,5.93,6.2,24.76,23.36,10.3,8.49,9.73,14.04,8.13,0.75,0.56,0.98,7340.95,7507.57,6298.7,5462.2,7606.71,7580.72,7220.23,3.66,3.21,1.52,1830,TATASTEEL,500470,INE081A01020,0,0,0,0,0,216840.35,216840.35,,2982.97,-12.43,-0.42,3.75,-4.82,8.49,35.08,10.19,2.18,8.49,8.13,1.22,-1.62,3.04,14.06,3.05,0.62,133.28,3.66,,1.55,2.39,1.52,0.08,0.07,0.79,73.09,33.19,0,0,-0.51,0,0,2.34,5.45,2.49,1.67,1.04,0.26,0.67,11.86,63.78,332.35,7.17,-3.62,2.74,2.74,10.75,4.03,166.46,-97.39,-87.31,133.28,271.64,49.1,411.08,84.65,2.28,,0.88,0.88,1.24,1.94,9.96,1.06,6600.63,6263.57,8896.54,7427.54,6559.22,5903.49,6141.27,63489.95,30504.26,17827.57,25298.45,22305.9,32300.16,15.16,13.97,11.39,3101.75,2077.68,1300.81,326.64,833.45,959.61,611.48,513.37,-6196.24,3132.34,3420.51,-4437.44,8760.4,40153.93,7490.22,1556.54,44.86,25699.94,28786.79,4171.72,2987.36,2189.81,8222.06,-1089.06,,3.77,11.49,9.66,1.55,3.91,5.29,-1.92,3.07,-4111.78,2917.91,2731.18,11.39,13.97,15.16,3.77,,9.66,12.98,0.26,8839.68,7584.09,6631.61,5998.33,6757.95,24114.75,26838.98,29053.71,12.19,30.8,30.8,12.28,7.51,10.06,5050.15,8034.36,1.82,2.57,6,96.63,55,57.33,75,75,75,55.17,66.65,74.9,65.5,56.14,21,5,0,9,15,8
40,Adani Enterprises,228072.12,14.88,14.95,10.9,4.65,6.58,0.85,28.13,44.17,324730.21,557200.93,44.24,29.01,9.14,6.19,14.73,13.22,6.6,8.29,8.3,7.99,8.78,1.35,1.24,1.6,5978.02,4554.7,3969.98,2525.88,1376.85,1572.32,6684.4,2.8,2.91,1.6,2784,ADANIENT,512599,INE423A01024,0,0,0,0,0,97711.08,97711.08,,7510.22,-15.12,-11.91,14.88,9.18,7.75,3.59,5.37,6.71,8.29,8.78,3.58,2.01,1.74,0.76,1.78,2.42,41.56,2.8,,7.07,64.96,1.6,0.02,0.06,0.86,413.19,73.97,0,0,1.36,0.81,-0.09,45.24,64.05,27.38,6.02,32.98,0.04,14.82,10.35,8.39,7.06,21.78,27.24,60.55,60.55,101.44,55.59,82.5,547.46,778.45,41.56,84.75,354.82,15.67,11.55,3.83,,2.74,2.74,3.51,2.05,50.54,2.45,3195.44,3227.31,3306.56,3310.29,3710.01,3070.41,3765.8,3713.2,2505.05,2284.31,14252.03,11376.6,8827.98,15.56,15.07,16.66,3198.75,734.41,3844.91,57.83,1741.75,1454.5,450.58,1888.45,227.82,3396.56,7099,3240.78,2472.94,776.56,922.64,1138.17,-12.2,13894.36,13397.27,4397.63,1466.28,2408.89,10478.74,4924.91,,-1.1,14.2,11.58,7.7,3.34,15.05,3.3,8.42,4021.35,5535.28,3704.66,16.66,15.07,15.56,-1.1,,11.58,14.4,0.7,7485.4,3785.71,8291.52,3718.87,4348.37,13237.13,16722.36,23281.5,16.66,72.14,72.14,17.08,12.78,20.54,794.1,4615.3,1.78,4.78,4,911.35,39.67,38.33,55,45,45,38,29.86,33.55,32.38,39.74,15,18,3,3,8,15
41,Indian Oil,220333.68,7.29,11.82,13.66,6.1,1.87,0.46,11.53,56.14,313858.59,2879583.9,53.05,18.09,0.92,1.9,9.52,10.09,4.15,8.22,13.78,15.23,23.9,0.28,0.26,0.76,9261.93,7825.65,7541.36,5423.26,3589.12,6578.74,8975.48,4.27,10.15,2.1,2130.3,IOC,530965,INE242A01010,0,0,0,0,0,854952.77,753695.85,,12028.4,-10.44,-0.93,7.29,22.75,7,18.79,19.34,-0.93,8.22,23.9,2.68,8.65,2.21,6.11,6.09,-0.27,41.81,4.27,,1.79,8.73,2.1,0.07,0.15,0.68,135.41,51.5,0,0,0,0,0,12.42,17.61,5.68,4.95,5.9,1.54,-0.12,-0.97,23.57,27.34,7.11,30.3,9.87,9.87,20.92,41.74,-49.89,-47.87,173.13,41.81,4833.33,14.75,40.12,7.66,7.88,,0.23,0.23,0.42,0.66,6.35,0.29,11970.44,16575.61,16245,13267.46,15029.33,7572.69,3467.08,47741.68,40585.03,16840.05,35990.54,75590.77,30698.99,9.09,6.9,1.98,7817.55,6813.71,8123.64,2115.29,-169.58,3528.49,5148.87,9029.56,13114.3,7479.57,13597.84,41729.69,9792.12,25102.23,21638.21,-893.14,368.55,41932.99,52114.48,10392.42,7602.03,-1263.86,15303.02,55741.86,,7.11,4.73,9.69,-0.1,3.54,4.38,5.35,3.27,30821.22,17537.34,10623.07,1.98,6.9,9.09,7.11,,9.69,6.85,0.21,16889.33,13850.71,16268.22,9273.93,5347.63,79433.62,39504.27,56282.19,5.19,215.83,215.83,5.21,2.99,8.09,12422.15,16775.55,2.14,1.18,5,235.38,67.5,68.17,60,60,60,67.83,48.25,54.22,46.61,48.33,15,5,1,8,11,11
42,Hindalco Industries,213553.93,12.93,26.28,22.89,8.75,4.3,1.95,17.09,69.97,555440.91,2496749.88,59.57,24.25,5.93,6.2,24.76,23.36,10.3,13.28,11.29,11.61,10.34,0.45,0.45,0.5,3419,3858,3646,3768,3738,4197,3248,10.09,6.58,5.94,1070,HINDALCO,500440,INE038A01020,0,0,0,0,0,237022,237022,,15999,6.62,13.19,12.93,9.56,10.65,17.56,5.23,6.45,13.28,10.34,6.01,4.37,4.49,6.15,1.83,2.22,42.24,10.09,,6.63,72.07,5.94,0.09,0.1,1.56,557.25,34.64,0,0,0,0,0,55.57,79.04,21.35,18.03,23.8,16.82,17.59,16.93,15.65,61.73,45.42,45.71,72.05,71.91,107.57,79.61,35.11,16.76,169.71,42.24,21.38,18.41,92.13,39.88,19.4,,0.64,0.64,0.85,0.91,8.75,0.84,6681,5865,8966,7906,8836,7583,7883,28347,17536,14306,31805,23872,22666,13.57,12.31,13.54,4741,4004,5283,3735,3909,3074,3174,2331,2196,4740,16001,10155,10097,13730,3483,3767,13.74,27932,33291,6539,5674,5643,22334,14010,,0.03,13.19,10.98,6.72,6.23,7.18,4.67,7.01,10775,12488,13892,13.54,12.31,13.57,0.03,,10.98,13.13,0.28,9497,8508,9542,8051,8444,25368,34513,35598,14.31,12.47,12.47,14.47,11.16,5.87,5978,8197.93,2.55,1.73,8,1039.45,60.67,63.67,80,80,80,62,61.12,68.68,68.94,66.35,26,4,0,9,16,7
43,SBI Life Insurance ,200826.7,14.2,24.64,1.06,0.65,7.21,3.37,79.71,50.56,1023602.32,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,0.65,0.63,0.73,0.58,0,0,0,11.44,9.13,10.08,10.01,8.32,8.49,0,265.96,258.09,234.23,,SBILIFE,540719,INE123W01016,0,0,0,0,0,84059.83,84059.83,,2413.3,49.59,-30.75,14.2,12.7,13.21,12.95,11.09,16.26,0.65,0.58,0.52,0.47,0.54,0.55,0.64,0.85,12.46,265.96,,2.04,24.08,234.23,0.06,0.07,1.39,169.49,55.34,-0.02,-0.04,-0.09,0,0,21.75,24.46,4.93,5.93,8.12,5.5,5.29,14.22,14.56,15.06,17.19,18.92,24.09,24.09,24.92,19.67,26.67,65.51,75.16,12.46,-6.81,-16.86,15.06,14.22,8,,1.33,1.33,1.31,6.7,7.86,1.93,-1235.53,604.42,509.96,810.53,-833.59,681.01,817.15,1558.05,910.29,1702.38,1696.47,679.29,374.73,2.21,2.08,2.03,494.59,594.37,813.51,550.82,529.42,519.52,810.8,321.75,380.19,494.59,2413.3,1893.78,1720.57,1506,1455.85,1422.18,-37.59,1061.25,1167.91,526.19,802.8,813.03,2947.41,2271.61,,0.18,1.43,0.51,1.31,1.52,2.14,1.42,2.36,2032.26,2181.49,2410.56,2.03,2.08,2.21,0.18,,0.51,1.12,6.57,531.76,656.2,900.63,593.53,601.44,2356.97,3042.6,2682.12,2.57,-11.59,-11.59,2.6,2.53,50.38,695.87,862.95,0.53,11.82,6,298.78,40.83,41.33,60,60,60,40.5,58.84,66.12,68.25,58.62,18,12,1,5,11,12
44,Eicher Motors,191265.49,22.23,22.72,25.41,12.76,10.38,1.83,39.02,55.28,770865.62,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,23.08,23.23,20.2,24.6,0.01,0.01,0.01,54.34,50.88,28.02,18.78,16.45,18.88,62.99,110.73,106.19,75.25,21.2,EICHERMOT,505200,INE066A01021,0,0,0,0,0,18538.21,18538.21,,4034.63,7.5,25.37,22.23,22.17,19.43,13.29,11.77,18.3,23.08,24.6,17.42,17.29,15.17,10.34,9.25,14.67,19.66,110.73,,23.47,147.14,75.25,0.15,0.16,1.63,776.68,49.06,0,-0.03,-0.09,0,0,155.61,186.2,49.93,43.95,49.69,42.7,40.15,669.19,49.24,61.33,106.38,146.18,172.76,172.37,173.74,151.6,14.6,129.65,-78.22,19.66,24.36,13.61,75.65,797.53,51.99,,7.77,7.77,7.77,3.8,48.06,8.93,1128.64,1090.27,1511.9,1202.78,1257.69,1201.19,1087.72,2172.25,1781.25,2180.35,4712.03,4326.91,3443.58,24.5,23.86,25.51,1369.45,1205.22,1362.15,1170.5,1100.33,1101.46,1070.45,995.97,1016.25,1234.54,4734.44,4001.01,2913.94,1676.6,1346.89,1827.44,39,4472.06,5173.56,1644.1,1435.88,1248.3,5233.26,4754.3,,-1.02,23.36,24.57,25.81,23.9,22.19,22.72,23.84,4184.13,4268.21,4442.74,25.51,23.86,24.5,-1.02,,24.57,24.14,1.9,1862.82,1648.84,1638.08,1489.97,1441.5,5402.78,6016.93,6639.71,29.82,29.23,29.23,31.88,28.02,24.37,1319.3,1506.93,21.4,8.98,5,1836.65,30.33,30.5,65,60,60,29.67,50.2,56.41,62.36,68.53,20,4,3,6,14,9
45,Shriram Finance,188816.77,16.91,14.64,34.75,7.08,4.09,1.43,27.24,38.76,1941484.5,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,17.3,17.01,15.99,17.47,2,1.95,4.15,18454.58,15521.76,12931.27,9734.31,9054.26,8270.26,21408.93,1.63,1.68,1.43,,SHRIRAMFIN,511218,INE721A01047,0,0,0,0,0,41324.84,41324.84,,9423.31,0.26,16.82,16.91,15.04,13.81,10.42,11.5,13.84,17.3,17.47,3.25,2.96,2.85,1.91,1.92,2.19,-2.89,1.63,,22.82,50.86,1.43,-0.15,-0.13,2.31,300.31,25.38,-0.01,-0.02,-0.05,0,0,50.06,48.62,13.45,12.3,11.48,11.4,86.35,107.89,101.44,102.23,159.83,196.32,50.82,50.75,54.29,212.32,-74.43,-48.34,-53.39,-2.89,-84.42,9.35,105.1,116.49,13.17,,2.95,2.95,8.04,1.69,-4.33,4.01,6944.25,7085.42,8773.73,8803.4,8473.98,8161.01,7665.17,13399.87,12453.68,11829.71,30024.1,26036.06,21714.07,72.09,73.9,71.65,2529.65,2314.17,2159.4,2143.77,3246.85,2140.4,2022.8,2008.8,1866.24,2523.98,9553.82,7366.38,6011.04,2721.1,2498.83,2512.27,14.46,28948.51,34212.12,3363.52,3112.96,4312.81,12502.91,9960.17,,0.44,71.73,71.5,30.35,19.43,20.78,20.23,19.43,8038.24,9418.85,9553.82,71.65,73.9,72.09,0.44,,71.5,72.68,-7.15,8799.47,8812.24,8480.05,8167.03,9239.18,26069.53,30049.15,34258.79,71.79,-4.76,-4.76,71.82,70.28,11.19,5395.25,,1.72,3.34,3,593.6,29.33,36.33,35,50,50,35.33,65.3,73.38,63.06,67.39,24,14,0,10,13,10
46,Grasim Industries,187755.8,3.8,7.5,8.19,3.95,3.58,2.23,41.9,49.12,1017269.26,1996937.74,49.44,35.28,1.84,4.09,10.7,11.6,4.35,5.86,6.96,7.11,7.32,1.27,0.97,1.88,12500.38,9277.43,6043.73,4776,5723.48,6890.31,7589.5,2.38,3.07,1.62,210,GRASIM,500300,INE047A01021,0,0,0,0,0,147178.27,147178.27,,7459.54,-14.39,16.02,3.8,6.34,8.67,9.97,6.57,7.79,5.86,7.32,0.74,1.36,2.02,2.6,1.61,1.8,-2.57,2.38,,2.47,109.61,1.62,-0.03,-0.03,0.9,1432.8,43.22,0.11,0.11,0.47,0,0,65.86,64.17,8.16,20.91,22.22,13.47,5.86,67.18,65.5,114.98,103.88,85.29,55.57,55.5,204.44,223.47,-8.51,-10.2,33.41,-2.57,39.25,-60.98,227.66,153.25,-2,,1.2,1.2,2.79,1.9,-10.94,1.18,5769.19,4893.11,4871.68,6087.78,8750.1,6097.64,3646.43,20431.37,18628.86,17261.1,28262.19,27195.14,21589.05,12.21,15.17,10.86,553.48,1418.68,1495.9,898.96,389.9,1207.93,1369.82,1514.44,1163.75,1437.08,3705.68,5624.49,6827.26,7549.78,4304.82,4411.74,33.6,18768.61,25807.2,2449.1,3764.91,1881.73,10528.27,13611.13,,1.35,18.85,20.56,1.16,3.54,1.39,4.25,2.75,5255.94,4482.09,3866.61,10.86,15.17,12.21,1.35,,20.56,16.22,-16.75,5216.94,6391.5,9066.19,6466.61,3958.34,28459.24,29721.23,27141.24,19.82,31.8,31.8,20.01,15.67,13.93,-81.5,408.17,0.76,1.93,2,1453.79,34.17,34,35,30,30,33.67,44.13,49.59,54.55,60.57,7,21,1,5,10,13
47,Hyundai Motor,183894.3,34.61,19.63,20.72,9.63,5.52,3.38,31.83,47.1,1264293.04,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,40.98,44.2,0,62.89,0.03,0.06,0.05,127.2,158.08,142.4,131.91,,,107.78,77.23,67.09,45.34,25,HYUNDAI,544274,INE0V6F01027,0,0,0,0,0,67942.38,67942.38,,5640.21,14.7,-1,34.61,56.81,23.48,17.21,,,40.98,62.89,18.73,22.99,13.62,10.23,,,-4.17,77.23,,8.05,69.41,45.34,0.14,0.35,1.42,200.56,82.5,0,0,,0,0,73.42,70.35,19.35,16.85,19.87,14.29,16.93,,,3571,5796,7458,69.41,69.41,95.32,10175.4,-99.06,-98.47,,-4.17,14.29,14.84,6241.1,,16.63,,2,2,1.89,3.87,42.32,2.69,2521.84,2173.47,2428.94,2185.24,2532.66,1875.53,2205.31,5486.09,,,8953.76,9132.62,7548.78,13.91,13.31,12.78,1572.26,1369.23,1614.34,1160.73,1375.47,1489.65,1675.17,1425.22,1630.46,1572.26,5640.21,6060.04,4709.25,2901.59,,,10.14,9240.88,9022.36,2125.96,1847.2,1849.85,7591.35,8239.87,,1.13,12.78,12.81,7.97,8.34,9,8.5,8.35,6220.51,5965.52,5701.03,12.78,13.31,13.91,1.13,,12.81,13.18,-7.71,2660.14,2400.03,2742.24,2119.99,2397.56,10605.88,9823.81,9922.41,14.02,10.95,10.95,14.19,11.15,13.32,1641.99,2241.79,11.73,11.28,6,584.84,32.83,33.67,70,70,70,33,43.02,48.34,55.71,54.57,12,7,2,2,10,12
48,InterGlobe Aviation,181871.78,77.47,76.99,15.64,6.28,20.96,1.12,56.31,44.26,186640.61,780145.32,52.67,34.68,1.66,8.75,30.65,14.33,7.72,15.52,15.76,3.18,23.75,0,0,0.19,5080,4169.35,3131.73,2358.02,2141.98,1875.87,5780.4,4.2,4.47,2.43,,INDIGO,539448,INE646L01027,0,0,0,0,0,77618.6,77618.6,,7258.4,5.1,10.72,77.47,409.35,0,0,-5530.98,-3.97,15.52,23.75,6.26,9.93,-0.51,-13.4,-13.48,-0.55,-47.22,4.2,,8.63,187.85,2.43,0.21,0.26,1.48,242.45,41.58,0,-7.69,-21.55,0,0,157.42,83.08,14.22,-66.79,56.31,79.38,63.38,-6.07,-150.89,-160.01,-7.93,211.84,187.93,187.67,412.49,378.21,9.06,1553.6,324.37,-47.22,-77.56,121.29,-28.38,97.2,36.67,,2.44,2.44,2.23,7.28,7.53,2.15,5159.2,3993.51,5367.4,579.5,5226.5,6089.4,5178.6,547.33,-13.6,4058.62,18058.3,16317.57,6495.35,22.87,3.12,23.42,549.8,-2581.7,2176.3,3067.5,2448.8,-986.7,2728.8,1894.82,2998.12,549.1,7258.4,8172.47,-305.79,-6161.84,-5806.43,-233.68,3.65,15962.41,17262.8,562.2,-2481.7,2527.1,7593.4,8049.31,,-0.55,21.47,22.91,11.08,-13.91,2.34,11.47,3.79,6635.04,6085.72,7258.4,23.42,3.12,22.87,-0.55,,22.91,20.39,-1.2,4889.6,1623.7,6272.8,7035,6060.7,18644.39,21353.6,19821.1,25.39,-19.32,-19.32,26.42,15.68,8.45,1986.54,4939.95,2.53,19.41,5,646.13,40.33,42.83,50,50,45,43.17,39.7,44.61,33.18,47.96,15,10,2,9,13,10
49,LTIMindtree,174735.91,20.26,32.22,39.69,20.11,9.89,10.49,27.65,55.32,3476946.41,3894583.67,53.66,28.1,9.82,9.75,30.68,37.82,19.27,26.32,29.34,30.85,28.73,0,0,0,278.9,221.7,150.4,72.8,78.8,82.6,278.3,26.84,31.98,17.5,69.4,LTIM,540005,INE214T01019,0,0,0,0,0,38008.1,38008.1,,4602,2.6,9.85,20.26,22.89,26.56,26.05,26.5,28.12,26.32,28.73,15.01,16.62,18.76,18.41,18.07,17.22,4.03,26.84,,11.79,155.47,17.5,0.15,0.21,3.51,766.83,68.53,-0.01,-0.04,-0.11,0,0,154.14,160.35,32.75,47.28,42.33,38.1,36.65,86.61,110.26,130.81,148.83,154.85,155.29,155,188.97,182.55,3.52,24.63,83.33,4.03,-10.64,-30.73,151.62,103.07,46.97,57.74,3.5,3.5,3.4,3.49,38.44,4.28,1606.1,1535.7,2002.7,1930.1,1649.4,1596.2,1593.3,3058.4,2725.1,2029.3,6494.9,6387.4,6107.7,18.58,18.57,16.49,970.6,1401.1,1254.1,1128.5,1085.4,1251,1133.8,1099.9,1168.9,959.6,4598.7,4582.1,4408.3,2296.8,1936.1,1520.1,25.7,6434.4,7178.4,1304.7,1879.2,1472.5,6214.2,6048.7,,2.08,16.65,17.64,11.23,13.48,9,12.65,11.66,4653.6,4570.1,4598.7,16.49,18.57,18.58,2.08,,17.64,17.6,9.12,1639.6,2230.5,2041.5,1847.4,1805.8,7089.3,7484.6,7759,19.19,-9.2,-9.2,19.69,17.08,17.29,1728.24,2004.35,16.1,7.69,6,1688.97,31.5,31.5,55,50,50,30.5,50.35,56.58,67.37,60.44,10,10,4,5,10,13
